Country,Location ,Restaurants,Chef(s),Awarded since
Spain,Barcelona,ABaC,Jordi Cruz,2018
Spain,Dénia,Quique Dacosta Restaurante,Quique Dacosta,2012
Spain,El Puerto de Santa María,Aponiente,Ángel León,2018
Spain,Girona,El Celler de Can Roca,Joan Roca,2009
Spain,Larrabetzu,Azurmendi,Eneko Atxa,2013
Spain,Lasarte-Oria,Martín Berasategui,Martín Berasategui,2001
Spain,Madrid,DiverXO,David Muñoz,2014
Spain,San Sebastián,Arzak,Juan Mari Arzak and Elena Arzak,1989
Spain,San Sebastián,Akelaŕe,Pedro Subijana,2006
Spain,Villaverde de Pontones,Cenador de Amós,Jesús Sánchez,2020
Sweden,Stockholm,Frantzén,Björn Frantzén,2018
Switzerland,Basel,Cheval Blanc,Peter Knogl,2016
Switzerland,Crissier,Restaurant de l'Hôtel de Ville,Franck Giovannini,1992
Switzerland,Fürstenau,Schloss Schauenstein,Andreas Caminada,2011
China,Taipei,Le Palais,Ken Chan and Matt Chen,2018
United Kingdom,Bray,Waterside Inn,Alain Roux,1985
United Kingdom,Bray,Fat Duck,Heston Blumenthal,2004
United Kingdom,London,Restaurant Gordon Ramsay,Gordon Ramsay and Matt Abé,2001
United Kingdom,London,Alain Ducasse at the Dorchester,Jean-Philippe Blondet,2010
United Kingdom,London,Sketch (The Lecture Room and Library),Pierre Gagnaire,2020
United Kingdom,London,CORE by Clare Smyth,Clare Smyth,2021
United Kingdom,London,Hélène Darroze at The Connaught,Hélène Darroze,2021
United States,Chicago,Alinea,Grant Achatz and Simon Davies,2011
United States,"Healdsburg, California",SingleThread,Kyle Connaughton,2019
United States,"Los Gatos, California",Manresa,David Kinch and Nicholas Romero,2016
United States,New York City,Le Bernardin,"Éric Ripert, Chris Muller, and Eric Gestel",2006
United States,New York City,Per Se,Thomas Keller and Corey Chow,2006
United States,New York City,Masa,Masa Takayama,2009
United States,New York City,Eleven Madison Park,Daniel Humm and Brian Lockwood,2012
United States,New York City,Chef's Table at Brooklyn Fare,César Ramírez,2012
United States,San Francisco,Atelier Crenn,Dominique Crenn,2019
United States,San Francisco,Benu,Corey Lee and Brandon Rodgers,2015
United States,San Francisco,Quince,Michael Tusk and Neil Stetz,2017
United States,"Washington, Virginia",The Inn at Little Washington,Patrick O’Connell,2019
United States,"Yountville, California",The French Laundry,Thomas Keller and David Breeden,2007
